id,title,description,deposit,agent_name,agent_mobile,_floor,address,size,size_m2,status,room_type,manage_cost_inc,updated_at2,url
29120213,대출안됨 깔끔한집,"초중고 학군좋아요
살기좋아요
버스노선좋아 출근좋아요
난곡종점좋아요
신림역
신대방역 출근좋아요
조용하고 살기 좋아요

21.10.18에 직방에 등록된 매물입니다.",8000,명가공인중개사사무소(정대일),010-8119-0509,1층,서울시 관악구 신림동 673-48 ,12,39.67,광고중,투룸,-,2021-10-18,https://zigbang.com/home/oneroom/items/29120213
29135960,상도전통시장인근 다가구주택 2층 투룸전세,"   [ 매 물 특 징 ]

◇ 상도전통시장 인근 다가구주택 2층투룸 전세입니다.

◇ 실평수 10평으로 방도 넓고 화장실도 큽니다.
(살짝 지대가 높아 차가 집앞까지 못갑니다. 짐이 많이 없는분 추천! 참고하세요)

◇ 시장 인근에 위치해 생활편리하고 살기좋고  전망좋은 투룸입니다.(깔끔한 새집을 원하는분은 비추)

 

     [매물금액 및 관리비]

◇ 보증금 8천만원 전세매물입니다.(전세자금대출 가능) 
21.10.19에 직방에 등록된 매물입니다.",8000,명진공인중개사사무소(백윤선),010-5728-8949,2층,서울시 동작구 상도동 464-17 ,10,33.06,광고중,투룸,-,2021-10-19,https://zigbang.com/home/oneroom/items/29135960
29133940,주차가능  빌라식다가구 1층  방크고 깨끗  비옵션,"남성역도보7~8분거리의 빌라식다가구 1층 방크고 주차가능합니다.

비옵션으로  전세대출가능합니다. 가스렌지있슴.
 
입주일 협의가능합니다.

7천/10만원도가능(주차비포함)
21.10.19에 직방에 등록된 매물입니다.",8000,소망공인중개사사무소(윤정인),010-3333-8636,1층,서울시 동작구 사당동 300-24 ,7,23.14,광고중,오픈형 원룸,-,2021-10-19,https://zigbang.com/home/oneroom/items/29133940
29146726,💕 융자없어 안전한 원룸 💕상도역/중대후문💕,"＃ 대출은 불가 합니다 ＃

 📌 위 치 
 ＃상도역에서 도보 5분/ 
 ＃중대후문 도보 5분/

 📌 특 징 
  ＃ 중대후문 인근 . ALL리모델링
  ＃ 베란다. 양창 채광 좋은 방
     😊 융자없어 안전한 집
     😊 기본 가전/가구 풀옵션
     😊 안심대로변
  ＃ 밤길에도 안전한 동네

📌 주변환경
   상도/중대후문 주변에 마트,편의점, 맛집이
   있으며 걷기좋은 서달산이 있어 워나벨한
   생활 가능합니다. 

🏃💨💨
21.10.20에 직방에 등록된 매물입니다.",6000,스카이공인중개사사무소(이연우),010-3754-5257,3층,서울시 동작구 상도1동 326-13 ,7,23.14,광고중,오픈형 원룸,"인터넷,TV",2021-10-20,https://zigbang.com/home/oneroom/items/29146726
29114480,💗💛 좋은 방은 선착순 !! 💛💗,"💗 보증금 및 월세 :  

◈ 300/40      ◈ 500/38 

◈ 1000/35    ◈ 2000/25

◈ 3000/15    

◈ 전세 5500 / 관리비 12

◈ 전세 6000 / 관리비 10

보증금 조정가능!


💗 관리비 : 10만원(TV,인터넷,수도,가스,E/V 포함) 전기 별도

💗 주차 시 : 협의

💗 룸스타일 : 분리형

💗 신림역 초역세권 분리형 원룸으로

      최권최고액 ( 융자 ) , 선순위보증금 까지 안전한 건물입니다.


     *  전세자금 대출은 불가능한 건물입니다.

     *  전세자금 대출 가능한 다른 건물 있습니다.


⭕ 주변환경 및 교통편

💛 위치 : 서울시 관악구 신림동

💛 교통 : 신림역 도보 6분 이내
21.10.18에 직방에 등록된 매물입니다.",6000,토토공인중개사사무소(손영보),010-5844-2823,3층,서울시 관악구 신림동 1461-19 ,6.5,21.49,광고중,분리형 원룸,"가스,수도,인터넷,TV",2021-10-18,https://zigbang.com/home/oneroom/items/29114480
29062885,🧿전세꿀매물🧿포근한남서향🧿대출불가,"💠----------------------------------------
 대로변 햇살가득 지상층 전세원룸입니다💕
 ----------------------------------------💠
⚠️전세대출 불가합니다!

🧭 위치 및 교통 🧭
✔️ 7호선 상도역 3분/중대후문 6~7분거리 위치한 원룸입니다. 
✔️ 유동인구 많은 메인도로위치, CCTV로 안전귀가 할 수 있습니다.
✔️ 집앞 편의점, 카페, 세탁소 등 편의시설 이용 아주 편리합니다.

🏠 옵션 및 구조 🏠 
✔️ 지상층에 가성비좋은 깔끔한 전세방이 나왔습니다.
✔️ 화사한 남서향에 산뜻한 그린&화이트톤 오픈형원룸입니다. 
✔️ 에어컨,냉장고,세탁기,책상 등 가전/가구 풀옵션 제공됩니다.

🚚 입주가능시기 🚚
✔️ 현 세입자와 날짜협의 가능합니다
21.10.20에 직방에 등록된 매물입니다.",6000,스카이공인중개사사무소(이연우),010-3754-5257,3층,서울시 동작구 상도1동 452-3 ,6.5,21.49,광고중,오픈형 원룸,"가스,수도,인터넷,TV",2021-10-20,https://zigbang.com/home/oneroom/items/29062885
29128969,💞신림역 전세대출 가능💞,"💞 매물 정보
  
신림역 전세대출 가능한 오픈형 원룸 
대로변 위치라 늦게 퇴근 하시는 분 
치안 걱정 없이 안심귀가로 걱정 NO
인근 풍부한 먹거리로 간단하게 이용 가능
다양한 편의시설 마트 , 병원, 약국, 은행, 
편의점, 세탁소, 편하게 이용!!
인근 산책 할 수 있는 공원 있어서
산책 하고 내몸 지키기!!

💞 방 체크 

👉교통
     버스정류장 도보 3분 거리,  신림역 도보 5분 거리 

👉 기본 옵션
     세탁기, 에어컨, 인덕션, 냉장고, 전자도어락
     침대는 세입자가 꾸민 거라 비 옵션 입니다. 

👉 관리비
    관리비10만원(인터넷, 케이블,가스,수도)포함 선불
    전기.별도
     
 👉 방범
     실내 ＇외 CCTV, 도어락 안정장치 설치 완료보안 
     상태 : 현관부터 내방 문까지 25시간 full 가동 중
     치안 걱정 노~안전한 주거공간 보장

21.10.19에 직방에 등록된 매물입니다.",5000,119부동산공인중개사사무소(유미선),010-8980-3144,3층,서울시 관악구 신림동 87-61 ,6,19.83,광고중,오픈형 원룸,"가스,수도,인터넷,TV",2021-10-19,https://zigbang.com/home/oneroom/items/29128969
28940861,♥리모델링♥서울대셔틀1분♥프라임.합격의법학.1분♥,"1.리모델링  원룸입니다!
2.없는것 없는 풀옵션!
3.주차 가능 합니다! (주차비 별도)
4.대로쪽에 위치한 원룸이라서 더욱 안전하고 좋습니다!
5.편의점,마트,먹거리,기타편의시설,버스정류장1분거리에 모두 있습니다!
6.서울대셔틀버스 정류장1분거리에 있습니다!
7.집주인분이 상주 하고 있어서 피드백이 빠릅니다!
*대출은 불가 합니다!
21.10.20에 직방에 등록된 매물입니다.",6000,제이공인중개사사무소(장혜인),010-2781-0314,5층,서울시 관악구 신림동 131-20 ,6,19.83,광고중,오픈형 원룸,"수도,인터넷,TV",2021-10-20,https://zigbang.com/home/oneroom/items/28940861
29115517,💗신림 역 전세자금 대출 가능💗,"💞 매물 정보
  

신림역 전세자금 대출 가능한 오픈형 원룸
대로변 위치라서 늦게 귀가로 치안 걱정인 분 
안심 귀가로 걱정 NO 
주변에 다양한 편의시설 마트 , 병원, 약국, 
은행, 편의점, 세탁소, 편하게 이용가능 
다양한 편의 시설 있어서 편하게 이용

💞 방 체크 

👉교통
     버스정류장 도보 2분 거리, 신림역 도보 10분 거리 

👉 기본 옵션
     세탁기, 에어컨, 인덕션, 냉장고, 전자도어락

👉 관리비
    관리비7만원(인터넷, 수도, 케이블)포함 선불
    전기.가스 별도
     
 👉 방범
     실내 ＇외 CCTV, 도어락 안정장치 설치 완료보안 
     상태 : 현관부터 내방 문까지 25시간 full 가동 중
     치안 걱정 노~안전한 주거공간 보장

21.10.18에 직방에 등록된 매물입니다.",5000,119부동산공인중개사사무소(유미선),010-8980-3144,5층,서울시 관악구 신림동 1634-62 ,6,19.83,광고중,오픈형 원룸,"수도,인터넷,TV",2021-10-18,https://zigbang.com/home/oneroom/items/29115517
29115913,💗전세대출가능💗가성비끝판왕👍🏻💗선착순 1명💗,"💚안녕하세요. 수부동산입니다.💚

 

💚100% 실매물 직접 형장확인 후 사진 촬영한 매물입니다.💚

 

💚가격대비 크기 좋은 방입니다.💚

 


💚통풍,채광이 좋아 쾌적하고 깔끔합니다.💚

 

💚쾌적한 인테리어와 깔끔한 가구가 준비돼있습니다.💚

 

💚큰도로 변에 안전한 곳에 위치하고 있습니다.💚

 

💚근처에 편의점,마트,병원,은행 등 인프라 좋습니다.💚

 

💚강남권 출퇴근, 인근 대학교 통학하기 수월합니다.💚

 

💚집주인분 성격 좋으세요💚

 

💚전입+확정일자 융자 문제 없습니다💚

 

💚저희 부동산은 거짓 없이 100% 실매물만 취급합니다.💚

 

💚비슷한 조건의 다양한 매물 더 확보 중이니 연락주시면 최선의 다해 구해드리겠습니다.💚

 

💚연락주시면 궁금하신 사항 편하게 해결해드리겠습니다.💚



💚단독 등기이므로 호실별 면적은 개별등기부로 확인불가합니다. 임대인과 대략적으로 이야기한 면적입니다💚


21.10.18에 직방에 등록된 매물입니다.",5000,수공인중개사사무소(임준혁),010-3733-9323,2층,서울시 관악구 봉천동 101-2 ,6,19.83,광고중,오픈형 원룸,-,2021-10-18,https://zigbang.com/home/oneroom/items/29115913
